activity_pga1,activity_pga2,activity_pga3,activity_q1,activity_q2,activity_q3,activity_q4,activity_q5,activity_q6,activity_vid_count,activity_vid_week_1,activity_vid_week_2,activity_vid_week_3,activity_vid_week_4,activity_vid_week_5,activity_vid_week_6,course_platform,course_name,activity_completed,activity_learner,activity_auditor,unique_user_id
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,b8816ca755b90725cb56ef6acd3fc0f3
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,8c5bdf2cb6883a7225c208e0857cd7a0
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,3524d524ad05c5b84a203146acc46236
0,0,0,0,0,0,0,0,0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,098ddffa5f2cfe5ace1efde4c7c9cc85
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,9192d444a11c2bd1965e07b9588a91ce
0,0,0,0,0,0,0,0,0,27.0,19.0,7.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,f27d79afebb8a7d7d1ec8973402fd17c
0,0,0,0,0,0,0,0,0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,3071113e5955f11652fb5ef73fe5eb4c
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,2d85af2c36290ed180e5f06e8404a59a
0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,7099e2bcb14bb3436f3b44beceb8ab99
0,0,0,1,0,0,0,0,0,103.0,19.0,23.0,33.0,17.0,7.0,2.0,COURSERA,INTRO Fall 2014,0,1,1,d7442874b79cdb6952e746e238af723e
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,bf9ff987f7cfe50fc30549d846c8f904
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,b65ef211b8650a14398e3f7c0e98523d
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,40881958553a1bac4e886536ea9f1a55
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,39966bba0ec1b4b778e94664e5546166
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,e3af2ef2879727b3e283ce6616cf470c
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,3d78303e3386b36c813905d9ddfc14c9
0,0,0,0,0,0,0,0,0,110.0,19.0,23.0,33.0,17.0,7.0,9.0,COURSERA,INTRO Fall 2014,0,1,1,750781bfc4ecfae96572978632d8cd6b
0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,COURSERA,INTRO Fall 2014,0,0,0,a19fc2cb0585fe39e1382e4cda707e5a
